"","Cell.ID","Value","Std.Error","p.value"
"380","9127",7.072995820806e-07,3.79090738898901e-07,0.0690666931567418
"381","9128",1.11525048928937e-06,3.28563773810391e-07,0.00151253974508191
"382","9129",1.16520367334318e-06,3.42601132242914e-07,0.00148370312561601
"383","9130",2.77284853426386e-07,6.34807265326404e-07,0.664492751177844
"384","9131",5.18545612933441e-07,4.9945223977947e-07,0.305104107342417
"385","9144",7.21931843596524e-07,6.81764868136436e-07,0.295690172704525
"386","9145",1.15201736370622e-06,6.39656532174036e-07,0.0788869123170113
"387","9146",1.10968118343225e-06,4.04484527194852e-07,0.00890187131689766
"388","9147",1.03829545956751e-06,3.82914224407153e-07,0.00966102203730708
"389","9148",1.03881781827408e-06,5.55584225032975e-07,0.0684965437763101
"390","9149",1.12716572132079e-06,6.49654357331247e-07,0.0900702882646712
"391","9150",1.20885566752732e-06,5.67268432998202e-07,0.0389856376655387
"392","9151",1.18658238809597e-06,5.8242943849797e-07,0.0479535483913174
"393","9152",1.13419684852239e-06,7.60707698115903e-07,0.143440759897827
"394","9153",1.16091849908088e-06,7.79441730973285e-07,0.143847568002057
"395","9154",1.13753982795433e-06,8.36225354491296e-07,0.18098320268102
"396","9155",6.0848969483691e-07,1.03864617255354e-06,0.561112265152536
"397","9156",5.34814192280252e-07,1.06838056684904e-06,0.61927714196637
"398","9157",1.06292408757587e-06,9.11435735516946e-07,0.250109878068772
"399","9158",1.23711245537325e-06,8.13285829203277e-07,0.135721238320825
"400","9159",1.29412221801571e-06,7.10847855449858e-07,0.0758080294738845
"401","9160",1.1539348472042e-06,7.8879787103568e-07,0.150937623741348
"402","9161",9.91395181138214e-07,1.08382691834513e-06,0.365561950202171
"403","9162",2.09660372227585e-07,1.44348525593175e-06,0.88521151096474
"404","9163",1.01292469657009e-06,1.23630200544325e-06,0.417230038283159
"405","9164",2.09660372227585e-07,1.44348525593175e-06,0.88521151096474
"406","9165",1.09394994537407e-06,1.18262591760957e-06,0.360241270790448
"407","9166",1.12641881126721e-06,1.16595353299659e-06,0.339528183575394
"408","9167",1.19257903895424e-06,9.84225919986855e-07,0.232403309624841
"409","9168",1.18394834707095e-06,1.02203031007693e-06,0.253234189985032
"410","9169",1.2378748019568e-06,9.91152710191548e-07,0.218609150677886
"411","9170",1.18701588866408e-06,1.07939456702734e-06,0.277724145643225
"412","9171",9.94577671762937e-07,1.09794154294138e-06,0.370179310079685
"413","9172",1.14008221199755e-06,1.11049426666211e-06,0.310464828765406
"414","9173",8.79477234672502e-07,1.099984645052e-06,0.428478598176627
"415","9174",9.55134175115101e-07,1.03501552073499e-06,0.361371682742164
"416","9175",7.96507196170444e-07,1.11654977738954e-06,0.479565410938584
"417","9176",9.04718589554248e-07,1.03993176322197e-06,0.38925709968316
"418","9177",9.38337198581101e-07,9.85741863637927e-07,0.346589071064321
"419","9178",8.1686906021176e-07,8.61985540953093e-07,0.348723592547621
"420","9179",7.40722611050012e-07,9.04549161451995e-07,0.417473856900812
"421","9180",6.75118645951477e-07,9.64149171925796e-07,0.487649424974143
"422","9181",1.02151727510589e-06,6.90087170858649e-07,0.146263381100733
"423","9182",1.29364890408367e-06,5.20002791696277e-07,0.0169084521329282
